CPU name,cpu bench (higher = better)
AMD Ryzen Threadripper PRO 7995WX,"153,173"
AMD Ryzen Threadripper 7980X,"137,276"
AMD Ryzen Threadripper PRO 7985WX,"136,472"
AMD EPYC 9684X 96-Core,"122,615"
AMD EPYC 9654,"122,091"
AMD EPYC 9654P,"113,949"
AMD EPYC 9554,"111,635"
AMD EPYC 9554P,"109,858"
AMD EPYC 9474F,"105,003"
AMD EPYC 9634,"102,960"
AMD Ryzen Threadripper 7970X,"96,565"
AMD EPYC 9454P,"95,894"
AMD Ryzen Threadripper PRO 7975WX,"94,233"
AMD Ryzen Threadripper PRO 5995WX,"92,987"
AMD EPYC 7773X,"91,491"
Intel Xeon w9-3495X,"90,981"
Intel Xeon Platinum 8470 @2.00GHz,"89,850"
AMD EPYC 9534,"88,716"
Intel Xeon Max 9480,"87,420"
AMD EPYC 7J13,"84,786"
AMD EPYC 7763,"84,522"
AMD Ryzen Threadripper PRO 3995WX,"83,709"
AMD EPYC 7713,"83,566"
AMD Ryzen Threadripper PRO 7965WX,"83,440"
AMD Ryzen Threadripper 7960X,"82,879"
AMD EPYC 7V13,"82,878"
AMD EPYC 7663,"82,492"
AMD EPYC 7T83,"81,757"
AMD EPYC 9754,"81,404"
AMD Ryzen Threadripper 3990X,"80,866"
AMD EPYC 7713P,"80,373"
AMD EPYC 9374F,"79,927"
AMD EPYC 9354P,"78,872"
AMD EPYC 7B13,"77,460"
AMD EPYC 7643,"76,455"
AMD Ryzen Threadripper PRO 5975WX,"75,881"
Intel Xeon Platinum 8461V,"74,982"
AMD EPYC 9274F,"73,463"
AMD EPYC 7662,"73,321"
AMD EPYC 7573X,"70,868"
AMD EPYC 9254,"70,630"
AMD EPYC 7702,"69,872"
AMD EPYC 7H12,"69,633"
AMD EPYC 7742,"69,183"
AMD EPYC 75F3,"68,505"
AMD EPYC 9354,"67,842"
Intel Xeon w7-3465X,"66,740"
AMD EPYC 7543P,"66,687"
AMD Ryzen Threadripper PRO 5965WX,"66,617"
AMD EPYC 7B12,"65,658"
Intel Xeon w9-3475X,"65,379"
AMD EPYC 9334,"64,841"
Intel Core i9-14900KS,"64,822"
AMD EPYC 7R32,"64,727"
AMD EPYC 7702P,"63,633"
AMD Ryzen Threadripper 3970X,"63,272"
AMD Ryzen Threadripper PRO 3975WX,"62,992"
AMD Ryzen 9 7950X,"62,951"
AMD EPYC 9224,"62,900"
AMD Ryzen 9 7950X3D,"62,589"
Intel Xeon Platinum 8380 @ 2.30GHz,"62,318"
AMD EPYC 8434P,"62,182"
Intel Core i9-13900KS,"61,897"
AMD EPYC 8534P,"61,570"
Intel Core i9-14900K,"61,074"
AMD EPYC 74F3,"60,666"
Intel Xeon Gold 6448Y,"60,449"
AMD Ryzen Threadripper PRO 7955WX,"60,249"
Intel Core i9-14900KF,"60,168"
AMD EPYC 7543,"60,132"
AMD EPYC 7642,"59,390"
Intel Core i9-13900K,"59,370"
AMD EPYC 7513,"59,285"
AMD EPYC 7473X,"59,280"
AMD Ryzen 9 7945HX3D,"59,124"
Intel Xeon W-3375 @ 2.50GHz,"59,069"
Intel Xeon W-3365 @ 2.70GHz,"59,038"
Intel Xeon Gold 6421N,"58,797"
Intel Xeon w7-2495X,"58,740"
Intel Core i9-13900KF,"58,678"
Intel Xeon Gold 5512U,"58,547"
Intel Xeon Gold 5420+,"57,593"
Intel Xeon Gold 6423N,"57,434"
Intel Xeon Gold 6414U,"57,200"
AMD EPYC 7443P,"57,193"
AMD Ryzen 9 7940HX,"56,520"
AMD EPYC 7443,"55,901"
